,GO_ID,GO_term,GO_term_count
9517,GO:0007076,mitotic chromosome condensation,2
8055,GO:0043202,lysosomal lumen,2
9529,GO:0045739,positive regulation of DNA repair,2
9534,GO:0034446,substrate adhesion-dependent cell spreading,2
9537,GO:0070831,basement membrane assembly,2
8053,GO:0009966,regulation of signal transduction,2
8051,GO:0006027,glycosaminoglycan catabolic process,2
9541,GO:0006310,DNA recombination,2
9544,GO:0034644,cellular response to UV,2
9548,GO:0005004,GPI-linked ephrin receptor activity,2
9550,GO:0005030,neurotrophin receptor activity,2
9553,GO:0009314,response to radiation,2
8063,GO:0006094,gluconeogenesis,2
8271,GO:0016575,histone deacetylation,2
8101,GO:0042542,response to hydrogen peroxide,2
8099,GO:0040029,"regulation of gene expression, epigenetic",2
8097,GO:0034599,cellular response to oxidative stress,2
8094,GO:0019372,lipoxygenase pathway,2
9447,GO:1903830,magnesium ion transmembrane transport,2
9459,GO:0001222,transcription corepressor binding,2
9463,GO:0009755,hormone-mediated signaling pathway,2
9468,GO:0043124,negative regulation of I-kappaB kinase/NF-kappaB signaling,2
9474,GO:0070888,E-box binding,2
8091,GO:0010269,response to selenium ion,2
9480,GO:0019227,neuronal action potential propagation,2
9486,GO:0002116,semaphorin receptor complex,2
8080,GO:0002862,negative regulation of inflammatory response to antigenic stimulus,2
8069,GO:0043010,camera-type eye development,2
9563,GO:0042490,mechanoreceptor differentiation,2
9566,GO:0043121,neurotrophin binding,2
9658,GO:0051384,response to glucocorticoid,2
9659,GO:0051591,response to cAMP,2
8014,GO:0006306,DNA methylation,2
9667,GO:0016042,lipid catabolic process,2
9670,GO:0034774,secretory granule lumen,2
9673,GO:1904813,ficolin-1-rich granule lumen,2
8012,GO:0006112,energy reserve metabolic process,2
9681,GO:0006694,steroid biosynthetic process,2
9687,GO:0035162,embryonic hemopoiesis,2
9689,GO:0048536,spleen development,2
9692,GO:0090575,RNA polymerase II transcription regulator complex,2
8003,GO:0001894,tissue homeostasis,2
9695,GO:0050953,sensory perception of light stimulus,2
7999,GO:0071294,cellular response to zinc ion,2
9656,GO:0045925,positive regulation of female receptivity,2
9608,GO:0019083,viral transcription,2
9574,GO:0051602,response to electrical stimulus,2
9576,GO:0051896,regulation of protein kinase B signaling,2
9582,GO:1990090,cellular response to nerve growth factor stimulus,2
9594,GO:0000777,condensed chromosome kinetochore,2
9598,GO:0005643,nuclear pore,2
9617,GO:0043657,host cell,2
9654,GO:0045778,positive regulation of ossification,2
9621,GO:0075733,intracellular transport of virus,2
9633,GO:0000346,transcription export complex,2
8029,GO:0043588,skin development,2
9640,GO:0010701,positive regulation of norepinephrine secretion,2
9648,GO:0042713,sperm ejaculation,2
9445,GO:0015693,magnesium ion transport,2
8175,GO:0046621,negative regulation of organ growth,2
9179,GO:0006268,DNA unwinding involved in DNA replication,2
9181,GO:0042555,MCM complex,2
9183,GO:0071162,CMG complex,2
9186,GO:0006270,DNA replication initiation,2
8204,GO:0035584,calcium-mediated signaling using intracellular calcium source,2
8201,GO:0007206,phospholipase C-activating G protein-coupled glutamate receptor signaling pathway,2
9212,GO:0001568,blood vessel development,2
9230,GO:0030279,negative regulation of ossification,2
9240,GO:0055012,ventricular cardiac muscle cell differentiation,2
9242,GO:0060025,regulation of synaptic activity,2
9249,GO:0071277,cellular response to calcium ion,2
8189,GO:0032983,kainate selective glutamate receptor complex,2
8187,GO:0015277,kainate selective glutamate receptor activity,2
8185,GO:0007196,adenylate cyclase-inhibiting G protein-coupled glutamate receptor signaling pathway,2
9177,GO:0006267,pre-replicative complex assembly involved in nuclear cell cycle DNA replication,2
9173,GO:0000727,double-strand break repair via break-induced replication,2
8269,GO:0014911,positive regulation of smooth muscle cell migration,2
8267,GO:0014898,cardiac muscle hypertrophy in response to stress,2
8263,GO:0010832,negative regulation of myotube differentiation,2
8261,GO:0010592,positive regulation of lamellipodium assembly,2
8257,GO:0003714,transcription corepressor activity,2
9174,GO:0003688,DNA replication origin binding,2
8225,GO:0032279,asymmetric synapse,2
8247,GO:0050830,defense response to Gram-positive bacterium,2
8245,GO:0050829,defense response to Gram-negative bacterium,2
8242,GO:0019731,antibacterial humoral response,2
8236,GO:0000786,nucleosome,2
8228,GO:0043198,dendritic shaft,2
9251,GO:0071498,cellular response to fluid shear stress,2
9443,GO:0015095,magnesium ion transmembrane transporter activity,2
9341,GO:0030049,muscle filament sliding,2
9343,GO:0003774,motor activity,2
8147,GO:0043523,regulation of neuron apoptotic process,2
8143,GO:0034613,cellular protein localization,2
9349,GO:0001570,vasculogenesis,2
9352,GO:0005902,microvillus,2
9355,GO:0030898,actin-dependent ATPase activity,2
9363,GO:0030513,positive regulation of BMP signaling pathway,2
9386,GO:0071476,cellular hypotonic response,2
9392,GO:0030511,positive regulation of transforming growth factor beta receptor signaling pathway,2
8124,GO:0004970,ionotropic glutamate receptor activity,2
9428,GO:0009617,response to bacterium,2
9434,GO:0060509,type I pneumocyte differentiation,2
8110,GO:0051450,myoblast proliferation,2
9339,GO:0030048,actin filament-based movement,2
9279,GO:0043652,engulfment of apoptotic cell,2
9257,GO:1904706,negative regulation of vascular associated smooth muscle cell proliferation,2
9259,GO:1904753,negative regulation of vascular associated smooth muscle cell migration,2
9264,GO:2000727,positive regulation of cardiac muscle cell differentiation,2
9266,GO:2000987,positive regulation of behavioral fear response,2
9275,GO:0034109,homotypic cell-cell adhesion,2
8158,GO:0006783,heme biosynthetic process,2
9304,GO:0035035,histone acetyltransferase binding,2
8149,GO:0099151,regulation of postsynaptic density assembly,2
9322,GO:0010469,regulation of signaling receptor activity,2
9336,GO:0030017,sarcomere,2
8154,GO:1904861,excitatory synapse assembly,2
8152,GO:1900454,positive regulation of long-term synaptic depression,2
7059,GO:0002027,regulation of heart rate,2
6248,GO:0005581,collagen trimer,2
3063,GO:0015030,Cajal body,2
5363,GO:0042277,peptide binding,2
4226,GO:0086009,membrane repolarization,2
6697,GO:0048704,embryonic skeletal system morphogenesis,2
5388,GO:0045930,negative regulation of mitotic cell cycle,2
5395,GO:0030431,sleep,2
6678,GO:0032147,activation of protein kinase activity,2
4224,GO:0086004,regulation of cardiac muscle cell contraction,2
6654,GO:0008328,ionotropic glutamate receptor complex,2
6651,GO:0007163,establishment or maintenance of cell polarity,2
6649,GO:0007093,mitotic cell cycle checkpoint,2
4212,GO:0060342,photoreceptor inner segment membrane,2
5407,GO:0098703,calcium ion import across plasma membrane,2
5410,GO:1901843,positive regulation of high voltage-gated calcium channel activity,2
6720,GO:0097016,L27 domain binding,2
6722,GO:0097025,MPP7-DLG1-LIN7 complex,2
6744,GO:0007270,neuron-neuron synaptic transmission,2
6770,GO:0014002,astrocyte development,2
5312,GO:0008332,low voltage-gated calcium channel activity,2
2948,GO:0010459,negative regulation of heart rate,2
6748,GO:0099572,postsynaptic specialization,2
2024,GO:0005903,brush border,2
4248,GO:1990239,steroid hormone binding,2
6746,GO:0098962,regulation of postsynaptic neurotransmitter receptor activity,2
4230,GO:0086064,cell communication by electrical coupling involved in cardiac conduction,2
6741,GO:2000310,regulation of NMDA receptor activity,2
4240,GO:1903416,response to glycoside,2
5359,GO:0005080,protein kinase C binding,2
6725,GO:0097060,synaptic membrane,2
4209,GO:0055119,relaxation of cardiac muscle,2
5544,GO:1990504,dense core granule exocytosis,2
6573,GO:0016787,hydrolase activity,2
2700,GO:0005506,iron ion binding,2
291,GO:0051536,iron-sulfur cluster binding,2
4155,GO:0031090,organelle membrane,2
6565,GO:0071375,cellular response to peptide hormone stimulus,2
2698,GO:2000060,positive regulation of ubiquitin-dependent protein catabolic process,2
4154,GO:0030955,potassium ion binding,2
293,GO:0070474,positive regulation of uterine smooth muscle contraction,2
6562,GO:0035865,cellular response to potassium ion,2
5546,GO:0009267,cellular response to starvation,2
96,GO:0035640,exploration behavior,2
6548,GO:0006704,glucocorticoid biosynthetic process,2
89,GO:0033602,negative regulation of dopamine secretion,2
295,GO:0097151,positive regulation of inhibitory postsynaptic potential,2
5412,GO:1902514,regulation of calcium ion transmembrane transport via high voltage-gated calcium channel,2
2750,GO:0003725,double-stranded RNA binding,2
5415,GO:0001913,T cell mediated cytotoxicity,2
2758,GO:0007223,"Wnt signaling pathway, calcium modulating pathway",2
6601,GO:0034392,negative regulation of smooth muscle cell apoptotic process,2
702,GO:0001891,phagocytic cup,2
6598,GO:0014066,regulation of phosphatidylinositol 3-kinase signaling,2
2752,GO:0003727,single-stranded RNA binding,2
6595,GO:0150077,regulation of neuroinflammatory response,2
4179,GO:0036376,sodium ion export across plasma membrane,2
6584,GO:0042136,neurotransmitter biosynthetic process,2
6578,GO:0022008,neurogenesis,2
2986,GO:0038166,angiotensin-activated signaling pathway,2
6900,GO:0010001,glial cell differentiation,2
4359,GO:0007338,single fertilization,2
6909,GO:0007229,integrin-mediated signaling pathway,2
6907,GO:0006911,"phagocytosis, engulfment",2
6905,GO:0048741,skeletal muscle fiber development,2
6903,GO:0030276,clathrin binding,2
6891,GO:0060285,cilium-dependent cell motility,2
6930,GO:0038096,Fc-gamma receptor signaling pathway involved in phagocytosis,2
1114,GO:0061098,positive regulation of protein tyrosine kinase activity,2
6887,GO:0005858,axonemal dynein complex,2
6880,GO:0003341,cilium movement,2
5115,GO:0051403,stress-activated MAPK cascade,2
6864,GO:0005930,axoneme,2
6844,GO:0050679,positive regulation of epithelial cell proliferation,2
6931,GO:0048010,vascular endothelial growth factor receptor signaling pathway,2
5118,GO:0060444,branching involved in mammary gland duct morphogenesis,2
6955,GO:0004252,serine-type endopeptidase activity,2
6985,GO:0071438,invadopodium membrane,2
5079,GO:0045862,positive regulation of proteolysis,2
858,GO:0050766,positive regulation of phagocytosis,2
4389,GO:0030520,intracellular estrogen receptor signaling pathway,2
6966,GO:0035641,locomotory exploration behavior,2
6957,GO:0008236,serine-type peptidase activity,2
6948,GO:0001618,virus receptor activity,2
6940,GO:0032421,stereocilium bundle,2
6938,GO:0032420,stereocilium,2
6936,GO:0030971,receptor tyrosine kinase binding,2
6934,GO:1900026,positive regulation of substrate adhesion-dependent cell spreading,2
5120,GO:0061136,regulation of proteasomal protein catabolic process,2
6789,GO:0034351,negative regulation of glial cell apoptotic process,2
6800,GO:0045746,negative regulation of Notch signaling pathway,2
6797,GO:0045638,negative regulation of myeloid cell differentiation,2
4299,GO:0003382,epithelial cell morphogenesis,2
3031,GO:0048147,negative regulation of fibroblast proliferation,2
5215,GO:0015701,bicarbonate transport,2
6792,GO:0040008,regulation of growth,2
6802,GO:0045747,positive regulation of Notch signaling pathway,2
6781,GO:0030957,Tat protein binding,2
3029,GO:0048019,receptor antagonist activity,2
6778,GO:0030155,regulation of cell adhesion,2
3003,GO:0045429,positive regulation of nitric oxide biosynthetic process,2
6774,GO:0021510,spinal cord development,2
3035,GO:0071549,cellular response to dexamethasone stimulus,2
6825,GO:0097009,energy homeostasis,2
5163,GO:0030838,positive regulation of actin filament polymerization,2
815,GO:0018149,peptide cross-linking,2
6836,GO:0030326,embryonic limb morphogenesis,2
3042,GO:2001238,positive regulation of extrinsic apoptotic signaling pathway,2
3041,GO:2000272,negative regulation of signaling receptor activity,2
6821,GO:0072006,nephron development,2
6819,GO:0070986,left/right axis specification,2
6810,GO:0048665,neuron fate specification,2
5972,GO:0051149,positive regulation of muscle cell differentiation,2
6804,GO:0045807,positive regulation of endocytosis,2
1194,GO:0001725,stress fiber,2
6546,GO:0006700,C21-steroid hormone biosynthetic process,2
2212,GO:1900025,negative regulation of substrate adhesion-dependent cell spreading,2
6150,GO:0008361,regulation of cell size,2
5764,GO:0030705,cytoskeleton-dependent intracellular transport,2
3829,GO:0030673,axolemma,2
5772,GO:0035567,non-canonical Wnt signaling pathway,2
3841,GO:0035810,positive regulation of urine volume,2
5790,GO:0033150,cytoskeletal calyx,2
4043,GO:0050873,brown fat cell differentiation,2
4041,GO:0045986,negative regulation of smooth muscle contraction,2
5823,GO:0032526,response to retinoic acid,2
6109,GO:0006821,chloride transport,2
5828,GO:0033194,response to hydroperoxide,2
4016,GO:0040015,negative regulation of multicellular organism growth,2
4059,GO:0071902,positive regulation of protein serine/threonine kinase activity,2
6088,GO:0042166,acetylcholine binding,2
5738,GO:0046037,GMP metabolic process,2
6205,GO:0042147,"retrograde transport, endosome to Golgi",2
4082,GO:0005391,sodium:potassium-exchanging ATPase activity,2
2234,GO:0003091,renal water homeostasis,2
4081,GO:0002026,regulation of the force of heart contraction,2
6187,GO:0005819,spindle,2
6168,GO:0060052,neurofilament cytoskeleton organization,2
6166,GO:0060041,retina development in camera-type eye,2
5748,GO:0001965,G-protein alpha-subunit binding,2
5739,GO:0046710,GDP metabolic process,2
2219,GO:1903506,regulation of nucleic acid-templated transcription,2
6159,GO:0045861,negative regulation of proteolysis,2
6155,GO:0030163,protein catabolic process,2
5843,GO:0097190,apoptotic signaling pathway,2
6207,GO:0045334,clathrin-coated endocytic vesicle,2
5965,GO:0043393,regulation of protein binding,2
6023,GO:0051011,microtubule minus-end binding,2
5954,GO:0007224,smoothened signaling pathway,2
5955,GO:0007520,myoblast fusion,2
4008,GO:0030501,positive regulation of bone mineralization,2
6019,GO:0035580,specific granule lumen,2
6007,GO:0000930,gamma-tubulin complex,2
5963,GO:0014816,skeletal muscle satellite cell differentiation,2
6005,GO:0006376,mRNA splice site selection,2
5995,GO:0000381,"regulation of alternative mRNA splicing, via spliceosome",2
5990,GO:0043044,ATP-dependent chromatin remodeling,2
5967,GO:0045663,positive regulation of myoblast differentiation,2
5969,GO:0048643,positive regulation of skeletal muscle tissue development,2
6026,GO:0090316,positive regulation of intracellular protein transport,2
2206,GO:0051017,actin filament bundle assembly,2
6055,GO:0004435,phosphatidylinositol phospholipase C activity,2
6070,GO:0019722,calcium-mediated signaling,2
6067,GO:0009925,basal plasma membrane,2
4010,GO:0030665,clathrin-coated vesicle membrane,2
5918,GO:0043083,synaptic cleft,2
6057,GO:0004993,G protein-coupled serotonin receptor activity,2
3898,GO:0048812,neuron projection morphogenesis,2
5949,GO:0001708,cell fate specification,2
3909,GO:0051881,regulation of mitochondrial membrane potential,2
3911,GO:0051899,membrane depolarization,2
5945,GO:0007528,neuromuscular junction development,2
6543,GO:0005200,structural constituent of cytoskeleton,2
6442,GO:0051010,microtubule plus-end binding,2
6481,GO:0006935,chemotaxis,2
2510,GO:0001609,G protein-coupled adenosine receptor activity,2
76,GO:0014053,negative regulation of gamma-aminobutyric acid secretion,2
6479,GO:0002052,positive regulation of neuroblast proliferation,2
6462,GO:0050890,cognition,2
6460,GO:0050775,positive regulation of dendrite morphogenesis,2
5609,GO:0004683,calmodulin-dependent protein kinase activity,2
81,GO:0030170,pyridoxal phosphate binding,2
6432,GO:0098911,regulation of ventricular cardiac muscle cell action potential,2
5623,GO:0009931,calcium-dependent protein serine/threonine kinase activity,2
6419,GO:2000059,negative regulation of ubiquitin-dependent protein catabolic process,2
5659,GO:0048813,dendrite morphogenesis,2
6412,GO:0051879,Hsp90 protein binding,2
6484,GO:0008528,G protein-coupled peptide receptor activity,2
6391,GO:0016581,NuRD complex,2
6531,GO:0071560,cellular response to transforming growth factor beta stimulus,2
2098,GO:0031143,pseudopodium,2
4117,GO:0016791,phosphatase activity,2
5594,GO:0002931,response to ischemia,2
2677,GO:0021954,central nervous system neuron development,2
6534,GO:0097447,dendritic tree,2
6529,GO:0060326,cell chemotaxis,2
6518,GO:0050901,leukocyte tethering or rolling,2
6513,GO:0050767,regulation of neurogenesis,2
6498,GO:0032691,negative regulation of interleukin-1 beta production,2
85,GO:0032024,positive regulation of insulin secretion,2
6389,GO:0016236,macroautophagy,2
4084,GO:0005890,sodium:potassium-exchanging ATPase complex,2
3766,GO:0007205,protein kinase C-activating G protein-coupled receptor signaling pathway,2
4091,GO:0010248,establishment or maintenance of transmembrane electrochemical gradient,2
5706,GO:0001772,immunological synapse,2
5708,GO:0002377,immunoglobulin production,2
3723,GO:0046219,indolalkylamine biosynthetic process,2
3725,GO:0001963,"synaptic transmission, dopaminergic",2
3775,GO:0007271,"synaptic transmission, cholinergic",2
2377,GO:0008179,adenylate cyclase binding,2
5710,GO:0004385,guanylate kinase activity,2
6213,GO:0097443,sorting endosome,2
5722,GO:0032743,positive regulation of interleukin-2 production,2
6210,GO:0046326,positive regulation of glucose import,2
4092,GO:0014704,intercalated disc,2
6239,GO:0004867,serine-type endopeptidase inhibitor activity,2
2384,GO:0061178,regulation of insulin secretion involved in cellular response to glucose stimulus,2
6387,GO:0006656,phosphatidylcholine biosynthetic process,2
6385,GO:0006457,protein folding,2
6380,GO:1903827,regulation of cellular protein localization,2
2387,GO:0071377,cellular response to glucagon stimulus,2
5671,GO:0060996,dendritic spine development,2
5702,GO:0033081,regulation of T cell differentiation in thymus,2
2383,GO:0050885,neuromuscular process controlling balance,2
6277,GO:0001676,long-chain fatty acid metabolic process,2
2380,GO:0034199,activation of protein kinase A activity,2
5077,GO:0043433,negative regulation of DNA-binding transcription factor activity,2
4436,GO:0072520,seminiferous tubule development,2
871,GO:0097386,glial cell projection,2
7490,GO:0016573,histone acetylation,2
4583,GO:0000242,pericentriolar material,2
7241,GO:0030056,hemidesmosome,2
7235,GO:0008090,retrograde axonal transport,2
7225,GO:0048715,negative regulation of oligodendrocyte differentiation,2
7223,GO:0045840,positive regulation of mitotic nuclear division,2
7540,GO:0031290,retinal ganglion cell axon guidance,2
7249,GO:0045104,intermediate filament cytoskeleton organization,2
7291,GO:1904886,beta-catenin destruction complex disassembly,2
3286,GO:0051298,centrosome duplication,2
7462,GO:0060964,regulation of gene silencing by miRNA,2
7280,GO:0043507,positive regulation of JUN kinase activity,2
4558,GO:0002476,antigen processing and presentation of endogenous peptide antigen via MHC class Ib,2
873,GO:0150094,amyloid-beta clearance by cellular catabolic process,2
7269,GO:0106307,protein threonine phosphatase activity,2
4818,GO:0090543,Flemming body,2
7267,GO:0106306,protein serine phosphatase activity,2
7265,GO:0046330,positive regulation of JNK cascade,2
4816,GO:0061631,ubiquitin conjugating enzyme activity,2
4613,GO:0007098,centrosome cycle,2
7171,GO:0090325,regulation of locomotion involved in locomotory behavior,2
4964,GO:0003953,NAD+ nucleosidase activity,2
7167,GO:0060160,negative regulation of dopamine receptor signaling pathway,2
7162,GO:0060124,positive regulation of growth hormone secretion,2
4643,GO:0030837,negative regulation of actin filament polymerization,2
4969,GO:0016740,transferase activity,2
4757,GO:0005815,microtubule organizing center,2
4971,GO:0016849,phosphorus-oxygen lyase activity,2
7142,GO:0050709,negative regulation of protein secretion,2
7173,GO:0098691,dopaminergic synapse,2
4630,GO:0016358,dendrite development,2
4615,GO:0007286,spermatid development,2
7557,GO:0071679,commissural neuron axon guidance,2
4631,GO:0021591,ventricular system development,2
7178,GO:1901386,negative regulation of voltage-gated calcium channel activity,2
3278,GO:0022011,myelination in peripheral nervous system,2
7568,GO:0010839,negative regulation of keratinocyte proliferation,2
7292,GO:0006348,chromatin silencing at telomere,2
7140,GO:0048755,branching morphogenesis of a nerve,2
4535,GO:0008286,insulin receptor signaling pathway,2
7360,GO:0019226,transmission of nerve impulse,2
1092,GO:0031434,mitogen-activated protein kinase kinase binding,2
7357,GO:0007212,dopamine receptor signaling pathway,2
7397,GO:0003743,translation initiation factor activity,2
7355,GO:0006606,protein import into nucleus,2
4849,GO:0004402,histone acetyltransferase activity,2
7423,GO:0016281,eukaryotic translation initiation factor 4F complex,2
7425,GO:0017148,negative regulation of translation,2
4905,GO:0070200,establishment of protein localization to telomere,2
4534,GO:0007035,vacuolar acidification,2
7362,GO:0021542,dentate gyrus development,2
7367,GO:0042711,maternal behavior,2
4851,GO:0006289,nucleotide-excision repair,2
3284,GO:0035023,regulation of Rho protein signal transduction,2
1076,GO:0010608,posttranscriptional regulation of gene expression,2
7377,GO:1903351,cellular response to dopamine,2
7383,GO:0007274,neuromuscular synaptic transmission,2
7430,GO:0030324,lung development,2
1101,GO:0050435,amyloid-beta metabolic process,2
7442,GO:0005844,polysome,2
7319,GO:0016597,amino acid binding,2
1106,GO:0051019,mitogen-activated protein kinase binding,2
4548,GO:0001580,detection of chemical stimulus involved in sensory perception of bitter taste,2
7449,GO:0031369,translation initiation factor binding,2
7295,GO:0044666,MLL3/4 complex,2
1096,GO:0032091,negative regulation of protein binding,2
877,GO:1902430,negative regulation of amyloid-beta formation,2
4924,GO:0010971,positive regulation of G2/M transition of mitotic cell cycle,2
7343,GO:0048701,embryonic cranial skeleton morphogenesis,2
7434,GO:0070491,repressing transcription factor binding,2
7331,GO:0071312,cellular response to alkaloid,2
880,GO:1902991,regulation of amyloid precursor protein catabolic process,2
7338,GO:0021772,olfactory bulb development,2
7576,GO:0061045,negative regulation of wound healing,2
7047,GO:0071345,cellular response to cytokine stimulus,2
7049,GO:0001591,"dopamine neurotransmitter receptor activity, coupled via Gi/Go",2
4684,GO:0040018,positive regulation of multicellular organism growth,2
5052,GO:0031146,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,2
4717,GO:0060324,face development,2
7604,GO:0000987,cis-regulatory region sequence-specific DNA binding,2
7064,GO:0002092,positive regulation of receptor internalization,2
4683,GO:0038108,negative regulation of appetite by leptin-mediated signaling pathway,2
5051,GO:0019005,SCF ubiquitin ligase complex,2
7042,GO:0051764,actin crosslink formation,2
7082,GO:0009416,response to light stimulus,2
7601,GO:0071392,cellular response to estradiol stimulus,2
3346,GO:0060038,cardiac muscle cell proliferation,2
3249,GO:0007266,Rho protein signal transduction,2
7101,GO:0032467,positive regulation of cytokinesis,2
7103,GO:0034776,response to histamine,2
7108,GO:0035255,ionotropic glutamate receptor binding,2
4729,GO:1905515,non-motile cilium assembly,2
7614,GO:0045725,positive regulation of glycogen biosynthetic process,2
3079,GO:0046875,ephrin receptor binding,2
4687,GO:0043014,alpha-tubulin binding,2
6997,GO:0006208,pyrimidine nucleobase catabolic process,2
4397,GO:0042327,positive regulation of phosphorylation,2
4700,GO:0048487,beta-tubulin binding,2
7617,GO:0045821,positive regulation of glycolytic process,2
7613,GO:0043697,cell dedifferentiation,2
7030,GO:0044297,cell body,2
7611,GO:0043401,steroid hormone mediated signaling pathway,2
3349,GO:0060982,coronary artery morphogenesis,2
7608,GO:0017145,stem cell division,2
7123,GO:0043266,regulation of potassium ion transport,2
7134,GO:0046717,acid secretion,2
4664,GO:0034452,dynactin binding,2
4665,GO:0034454,microtubule anchoring at centrosome,2
7579,GO:0071944,cell periphery,2
4748,GO:0004869,cysteine-type endopeptidase inhibitor activity,2
7128,GO:0043666,regulation of phosphoprotein phosphatase activity,2
4974,GO:0019674,NAD metabolic process,2
7584,GO:0030175,filopodium,2
4544,GO:0036295,cellular response to increased oxygen levels,1
9512,GO:1902285,semaphorin-plexin signaling pathway involved in neuron projection guidance,1
4655,GO:0033365,protein localization to organelle,1
9606,GO:0017056,structural constituent of nuclear pore,1
10055,GO:0048304,positive regulation of isotype switching to IgG isotypes,1
10056,GO:0048539,bone marrow development,1
9969,GO:0005666,RNA polymerase III complex,1
2150,GO:0042974,retinoic acid receptor binding,1
10026,GO:1990776,response to angiotensin,1
9546,GO:0071478,cellular response to radiation,1
9973,GO:0004864,protein phosphatase inhibitor activity,1
4650,GO:0032402,melanosome transport,1
4543,GO:0033572,transferrin transport,1
9972,GO:0004860,protein kinase inhibitor activity,1
4079,GO:2000969,positive regulation of AMPA receptor activity,1
10054,GO:0046641,positive regulation of alpha-beta T cell proliferation,1
9513,GO:1903375,facioacoustic ganglion development,1
9977,GO:0031751,D4 dopamine receptor binding,1
9547,GO:0072711,cellular response to hydroxyurea,1
4044,GO:0051380,norepinephrine binding,1
10018,GO:0071471,cellular response to non-ionic osmotic stress,1
9539,GO:0098632,cell-cell adhesion mediator activity,1
9516,GO:0000796,condensin complex,1
9515,GO:1990830,cellular response to leukemia inhibitory factor,1
9976,GO:0031750,D3 dopamine receptor binding,1
9975,GO:0031749,D2 dopamine receptor binding,1
9601,GO:0006409,tRNA export from nucleus,1
9514,GO:1904835,dorsal root ganglion morphogenesis,1
9602,GO:0006999,nuclear pore organization,1
9974,GO:0007621,negative regulation of female receptivity,1
4545,GO:0046961,"proton-transporting ATPase activity, rotational mechanism",1
9540,GO:0150011,regulation of neuron projection arborization,1
10019,GO:0071636,positive regulation of transforming growth factor beta production,1
10053,GO:0046425,regulation of receptor signaling pathway via JAK-STAT,1
4656,GO:0034260,negative regulation of GTPase activity,1
4538,GO:0016471,vacuolar proton-transporting V-type ATPase complex,1
9511,GO:1901166,neural crest cell migration involved in autonomic nervous system development,1
9507,GO:0061551,trigeminal ganglion development,1
10020,GO:0090050,positive regulation of cell migration involved in sprouting angiogenesis,1
4505,GO:0000220,"vacuolar proton-transporting V-type ATPase, V0 domain",1
10021,GO:0090271,positive regulation of fibroblast growth factor production,1
9506,GO:0061549,sympathetic ganglion development,1
9958,GO:0043406,positive regulation of MAP kinase activity,1
4504,GO:1990535,neuron projection maintenance,1
4503,GO:0099520,ion antiporter activity involved in regulation of presynaptic membrane potential,1
4502,GO:0098984,neuron to neuron synapse,1
9957,GO:0043303,mast cell degranulation,1
2127,GO:0035357,peroxisome proliferator activated receptor signaling pathway,1
9505,GO:0048846,axon extension involved in axon guidance,1
10024,GO:0097756,negative regulation of blood vessel diameter,1
9619,GO:0048339,paraxial mesoderm development,1
9620,GO:0061053,somite development,1
4501,GO:0060075,regulation of resting membrane potential,1
2126,GO:0035257,nuclear hormone receptor binding,1
1028,GO:0008237,metallopeptidase activity,1
9623,GO:0007099,centriole replication,1
10023,GO:0090362,positive regulation of platelet-derived growth factor production,1
10064,GO:1904155,DN2 thymocyte differentiation,1
10022,GO:0090336,positive regulation of brown fat cell differentiation,1
10025,GO:1902219,negative regulation of intrinsic apoptotic signaling pathway in response to osmotic stress,1
10063,GO:1903615,positive regulation of protein tyrosine phosphatase activity,1
9968,GO:0003899,DNA-directed 5'-3' RNA polymerase activity,1
10062,GO:0098857,membrane microdomain,1
4537,GO:0016241,regulation of macroautophagy,1
9967,GO:2000270,negative regulation of fibroblast apoptotic process,1
9609,GO:0021915,neural tube development,1
9610,GO:0031080,nuclear pore outer ring,1
9510,GO:0097491,sympathetic neuron projection guidance,1
9543,GO:0030915,Smc5-Smc6 complex,1
9966,GO:1903169,regulation of calcium ion transmembrane transport,1
9965,GO:0097284,hepatocyte apoptotic process,1
10057,GO:0048864,stem cell development,1
9964,GO:0072672,neutrophil extravasation,1
9963,GO:0071320,cellular response to cAMP,1
10058,GO:0050764,regulation of phagocytosis,1
10059,GO:0050857,positive regulation of antigen receptor-mediated signaling pathway,1
10060,GO:0061097,regulation of protein tyrosine kinase activity,1
9509,GO:0097490,sympathetic neuron projection extension,1
9508,GO:0097374,sensory neuron axon guidance,1
10061,GO:0061099,negative regulation of protein tyrosine kinase activity,1
9962,GO:0055118,negative regulation of cardiac muscle contraction,1
9961,GO:0052812,"phosphatidylinositol-3,4-bisphosphate 5-kinase activity",1
9960,GO:0052742,phosphatidylinositol kinase activity,1
9959,GO:0046934,"phosphatidylinositol-4,5-bisphosphate 3-kinase activity",1
4641,GO:0030674,protein-macromolecule adaptor activity,1
4546,GO:0090383,phagosome acidification,1
4039,GO:0045453,bone resorption,1
4014,GO:0031649,heat generation,1
4564,GO:0008320,protein transmembrane transporter activity,1
9995,GO:0031394,positive regulation of prostaglandin biosynthetic process,1
9994,GO:0030282,bone mineralization,1
9578,GO:0060009,Sertoli cell development,1
9579,GO:0060385,axonogenesis involved in innervation,1
9993,GO:0019371,cyclooxygenase pathway,1
9580,GO:0061368,behavioral response to formalin induced pain,1
9992,GO:0016702,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen",1
9991,GO:0010575,positive regulation of vascular endothelial growth factor production,1
9990,GO:0010226,response to lithium ion,1
